user_id,variant,timestamp
2002715,control,2025-02-04T03:46:01Z
2004059,control,2025-02-04T22:40:00Z
2007807,treatment,2025-02-03T02:38:13Z
2006872,treatment,2025-02-04T07:20:57Z
2006729,treatment,2025-02-04T01:17:35Z
2001130,control,2025-02-04T12:13:16Z
2001397,control,2025-02-03T04:09:03Z
2008195,treatment,2025-02-04T09:33:59Z
2004649,control,2025-02-03T05:20:03Z
2004963,treatment,2025-02-04T07:03:38Z
2003506,control,2025-02-04T22:13:33Z
2004365,control,2025-02-04T02:24:42Z
2006018,treatment,2025-02-04T21:46:06Z
2001707,control,2025-02-04T15:49:16Z
2008644,treatment,2025-02-04T12:35:43Z
2007863,treatment,2025-02-03T19:52:09Z
2004598,control,2025-02-04T09:32:43Z
2009579,treatment,2025-02-04T11:11:53Z
2005026,treatment,2025-02-04T05:33:09Z
2007813,treatment,2025-02-04T15:16:21Z
2002193,control,2025-02-03T21:30:01Z
2002992,control,2025-02-03T11:32:29Z
2003307,control,2025-02-04T14:27:28Z
2008057,treatment,2025-02-03T23:53:11Z
2002648,control,2025-02-04T16:48:02Z
2009154,treatment,2025-02-04T00:20:35Z
2008120,treatment,2025-02-04T08:21:37Z
2006840,treatment,2025-02-04T21:50:47Z
2005490,treatment,2025-02-04T10:57:30Z
2002050,control,2025-02-04T10:52:31Z
2006445,treatment,2025-02-04T09:50:49Z
2009294,treatment,2025-02-03T05:32:34Z
2004024,control,2025-02-03T02:40:47Z
2009570,treatment,2025-02-04T07:29:05Z
2008406,treatment,2025-02-03T15:11:26Z
2006637,treatment,2025-02-03T22:56:44Z
2006966,treatment,2025-02-04T04:44:15Z
2001679,control,2025-02-04T05:19:17Z
2008452,treatment,2025-02-04T03:39:49Z
2006939,treatment,2025-02-04T00:45:23Z
2008934,treatment,2025-02-04T22:33:03Z
2005747,treatment,2025-02-03T03:23:53Z
2003485,control,2025-02-04T22:48:50Z
2005373,treatment,2025-02-03T17:43:06Z
2003812,control,2025-02-03T22:05:18Z
2002049,control,2025-02-04T12:07:16Z
2000766,control,2025-02-03T23:30:42Z
2004433,control,2025-02-03T04:37:07Z
2001967,control,2025-02-03T14:42:02Z
2008188,treatment,2025-02-03T00:10:12Z
