user_id,variant,timestamp
1000389,control,2025-01-08T00:46:00Z
1004692,control,2025-01-07T07:50:20Z
1008085,treatment,2025-01-08T09:22:15Z
1004449,control,2025-01-06T08:36:53Z
1008754,treatment,2025-01-07T04:22:55Z
1001624,control,2025-01-06T05:15:14Z
1009455,treatment,2025-01-08T09:46:51Z
1005262,treatment,2025-01-07T03:33:39Z
1003310,control,2025-01-07T21:26:03Z
1009222,treatment,2025-01-06T02:20:59Z
1008337,treatment,2025-01-08T17:03:48Z
1007000,treatment,2025-01-06T23:36:17Z
1009776,treatment,2025-01-07T05:00:42Z
1006507,treatment,2025-01-08T03:22:35Z
1004277,control,2025-01-06T10:25:44Z
1002320,control,2025-01-07T23:20:50Z
1001726,control,2025-01-07T17:35:22Z
1009813,treatment,2025-01-06T14:42:32Z
1002559,control,2025-01-08T02:21:35Z
1004875,control,2025-01-06T20:57:53Z
1003300,control,2025-01-06T09:53:25Z
1007402,treatment,2025-01-08T08:32:20Z
1001758,control,2025-01-08T07:34:59Z
1006399,treatment,2025-01-08T19:27:43Z
1006597,treatment,2025-01-08T03:03:00Z
1006599,treatment,2025-01-07T11:29:42Z
1007307,treatment,2025-01-08T05:05:45Z
1008355,treatment,2025-01-08T23:27:22Z
1001695,control,2025-01-06T03:15:42Z
1004322,control,2025-01-06T09:27:07Z
1002837,control,2025-01-06T04:38:31Z
1008537,treatment,2025-01-06T23:23:30Z
1008726,treatment,2025-01-08T05:41:43Z
1006241,treatment,2025-01-07T01:17:28Z
1006162,treatment,2025-01-06T19:39:14Z
1003676,control,2025-01-07T06:51:09Z
1006185,treatment,2025-01-07T20:46:53Z
1005426,treatment,2025-01-06T07:28:52Z
1007257,treatment,2025-01-06T15:03:15Z
1004455,control,2025-01-07T18:55:38Z
1004607,control,2025-01-08T18:39:59Z
1009521,treatment,2025-01-06T05:37:01Z
1006367,treatment,2025-01-06T08:03:32Z
1003824,control,2025-01-06T20:55:37Z
1006306,treatment,2025-01-08T14:06:54Z
1003137,control,2025-01-06T17:06:20Z
1003806,control,2025-01-08T05:52:38Z
1001881,control,2025-01-07T12:10:53Z
1006040,treatment,2025-01-06T05:30:02Z
1001042,control,2025-01-08T05:41:16Z
